Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
166,Kampen,1,53779.0,1.9
678,Kapelle,1,12785.0,7.8
537,Katwijk,1,65302.0,1.5
928,Kerkrade,3,45642.0,6.6
1598,Koggenland,1,22738.0,4.4
542,Krimpen aan den IJssel,1,29376.0,3.4
1931,Krimpenerwaard,4,56048.0,7.1
1659,Laarbeek,1,22333.0,4.5
1685,Landerd,14,15529.0,90.2
882,Landgraaf,4,37591.0,10.6
415,Landsmeer,3,11488.0,26.1
416,Langedijk,4,27992.0,14.3
1621,Lansingerland,7,61601.0,11.4
417,Laren,0,11195.0,0.0
80,Leeuwarden,3,123107.0,2.4
546,Leiden,8,124899.0,6.4
547,Leiderdorp,1,27109.0,3.7
1916,Leidschendam-Voorburg,5,75425.0,6.6
995,Lelystad,10,77893.0,12.8
1640,Leudal,8,35681.0,22.4
327,Leusden,1,30030.0,3.3
1705,Lingewaard,3,46475.0,6.5
553,Lisse,0,22800.0,0.0
262,Lochem,0,33590.0,0.0
809,Loon op Zand,8,23327.0,34.3
331,Lopik,2,14473.0,13.8
24,Loppersum,0,9614.0,0.0
168,Losser,0,22622.0,0.0
263,Maasdriel,1,24693.0,4.0
1641,Maasgouw,3,23716.0,12.6
556,Maassluis,1,32768.0,3.1
935,Maastricht,33,121565.0,27.1
420,Medemblik,0,44809.0,0.0
938,Meerssen,1,18923.0,5.3
1948,Meierijstad,49,80815.0,60.6
119,Meppel,0,33564.0,0.0
687,Middelburg,1,48544.0,2.1
1842,Midden-Delfland,0,19391.0,0.0
1731,Midden-Drenthe,0,33178.0,0.0
1952,Midden-Groningen,1,60899.0,1.6
815,Mill en Sint Hubert,1,10891.0,9.2
1709,Moerdijk,1,36961.0,2.7
1978,Molenlanden,3,43858.0,6.8
1955,Montferland,0,36026.0,0.0
335,Montfoort,0,13996.0,0.0
944,Mook en Middelaar,0,7806.0,0.0
1740,Neder-Betuwe,4,24034.0,16.6
946,Nederweert,5,17001.0,29.4
356,Nieuwegein,3,63036.0,4.8
569,Nieuwkoop,1,28628.0,3.5
267,Nijkerk,2,42943.0,4.7
268,Nijmegen,31,176731.0,17.5
1930,Nissewaard,3,84797.0,3.5
1970,Noardeast-Fryslân,0,45181.0,0.0
1695,Noord-Beveland,0,7308.0,0.0
1699,Noordenveld,1,31290.0,3.2
171,Noordoostpolder,2,46849.0,4.3
575,Noordwijk,2,42859.0,4.7
820,"Nuenen, Gerwen en Nederwetten",1,23186.0,4.3
302,Nunspeet,2,27481.0,7.3
579,Oegstgeest,4,24426.0,16.4
823,Oirschot,1,18623.0,5.4
824,Oisterwijk,10,26140.0,38.3
1895,Oldambt,0,38129.0,0.0
269,Oldebroek,2,23598.0,8.5
173,Oldenzaal,1,31840.0,3.1
1773,Olst-Wijhe,0,18071.0,0.0
175,Ommen,1,17813.0,5.6
1586,Oost Gelre,0,29704.0,0.0
826,Oosterhout,8,55616.0,14.4
85,Ooststellingwerf,0,25497.0,0.0
431,Oostzaan,1,9757.0,10.2
432,Opmeer,0,11779.0,0.0
86,Opsterland,2,29723.0,6.7
828,Oss,14,91451.0,15.3
1509,Oude IJsselstreek,2,39473.0,5.1
437,Ouder-Amstel,2,13916.0,14.4
589,Oudewater,1,10201.0,9.8
1734,Overbetuwe,9,47543.0,18.9
590,Papendrecht,0,32290.0,0.0
1894,Peel en Maas,31,43311.0,71.6
765,Pekela,1,12214.0,8.2
1926,Pijnacker-Nootdorp,10,54331.0,18.4
439,Purmerend,2,80117.0,2.5
273,Putten,2,24198.0,8.3
177,Raalte,3,37511.0,8.0
703,Reimerswaal,2,22678.0,8.8
274,Renkum,8,31302.0,25.6
339,Renswoude,0,5259.0,0.0
1667,Reusel-De Mierden,0,13060.0,0.0
275,Rheden,2,43640.0,4.6
340,Rhenen,0,20004.0,0.0
597,Ridderkerk,1,46241.0,2.2
1742,Rijssen-Holten,0,38300.0,0.0
603,Rijswijk,2,53467.0,3.7
1669,Roerdalen,0,20615.0,0.0
957,Roermond,4,58209.0,6.9
1674,Roosendaal,6,77032.0,7.8
599,Rotterdam,41,644618.0,6.4
277,Rozendaal,1,1654.0,60.5
840,Rucphen,1,22572.0,4.4
441,Schagen,4,46553.0,8.6
279,Scherpenzeel,0,9873.0,0.0
606,Schiedam,1,77999.0,1.3
88,Schiermonnikoog,0,936.0,0.0
1676,Schouwen-Duiveland,2,33779.0,5.9
965,Simpelveld,4,10516.0,38.0
1702,Sint Anthonis,4,11606.0,34.5
845,Sint-Michielsgestel,8,28991.0,27.6
1883,Sittard-Geleen,42,92661.0,45.3
610,Sliedrecht,1,25026.0,4.0
1714,Sluis,2,23386.0,8.6
90,Smallingerland,3,55938.0,5.4
342,Soest,11,46194.0,23.8
847,Someren,2,19322.0,10.4
848,Son en Breugel,4,16904.0,23.7
37,Stadskanaal,0,31789.0,0.0
