Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,* postcode ontbreekt bij 89 pt en 1 woont in buitenland,99,,
518,'s-Gravenhage,27,537833.0,5.0
796,'s-Hertogenbosch,35,154205.0,22.7
1680,Aa en Hunze,0,25386.0,0.0
358,Aalsmeer,4,31728.0,12.6
197,Aalten,0,27011.0,0.0
59,Achtkarspelen,0,27852.0,0.0
482,Alblasserdam,2,20069.0,10.0
613,Albrandswaard,4,25271.0,15.8
361,Alkmaar,9,108558.0,8.3
141,Almelo,2,72849.0,2.7
34,Almere,5,207904.0,2.4
484,Alphen aan den Rijn,10,110986.0,9.0
1723,Alphen-Chaam,6,10149.0,59.1
1959,Altena,19,55386.0,34.3
60,Ameland,0,3673.0,0.0
307,Amersfoort,30,156286.0,19.2
362,Amstelveen,13,90838.0,14.3
363,Amsterdam,85,862965.0,9.8
200,Apeldoorn,11,162445.0,6.8
3,Appingedam,0,11721.0,0.0
202,Arnhem,10,159265.0,6.3
106,Assen,0,67963.0,0.0
743,Asten,2,16710.0,12.0
744,Baarle-Nassau,0,6847.0,0.0
308,Baarn,2,24767.0,8.1
489,Barendrecht,4,48673.0,8.2
203,Barneveld,6,57971.0,10.4
888,Beek,3,15929.0,18.8
1954,Beekdaelen,18,35727.0,50.4
370,Beemster,0,9748.0,0.0
889,Beesel,0,13519.0,0.0
1945,Berg en Dal,18,34798.0,51.7
1724,Bergeijk,1,18491.0,5.4
893,Bergen (L),1,13140.0,7.6
373,Bergen (NH),4,29974.0,13.3
748,Bergen op Zoom,6,66811.0,9.0
1859,Berkelland,1,43904.0,2.3
1721,Bernheze,30,30806.0,97.4
753,Best,6,29821.0,20.1
209,Beuningen,6,25882.0,23.2
375,Beverwijk,6,41176.0,14.6
1728,Bladel,3,20175.0,14.9
376,Blaricum,2,11202.0,17.9
377,Bloemendaal,3,23410.0,12.8
1901,Bodegraven-Reeuwijk,1,34462.0,2.9
755,Boekel,20,10588.0,188.9
1681,Borger-Odoorn,0,25372.0,0.0
147,Borne,3,23210.0,12.9
654,Borsele,3,22800.0,13.2
756,Boxmeer,2,29065.0,6.9
757,Boxtel,6,30747.0,19.5
758,Breda,113,183873.0,61.5
501,Brielle,1,17182.0,5.8
1876,Bronckhorst,3,36212.0,8.3
213,Brummen,1,20698.0,4.8
899,Brunssum,4,28103.0,14.2
312,Bunnik,1,15192.0,6.6
313,Bunschoten,0,21576.0,0.0
214,Buren,5,26568.0,18.8
502,Capelle aan den IJssel,2,66818.0,3.0
383,Castricum,6,35772.0,16.8
109,Coevorden,12,35483.0,33.8
1706,Cranendonck,6,20440.0,29.4
1684,Cuijk,4,24931.0,16.0
216,Culemborg,4,28555.0,14.0
148,Dalfsen,1,28499.0,3.5
1891,Dantumadiel,0,18923.0,0.0
310,De Bilt,16,42824.0,37.4
1940,De Fryske Marren,5,51430.0,9.7
736,De Ronde Venen,2,44059.0,4.5
1690,De Wolden,1,24110.0,4.1
503,Delft,5,103163.0,4.8
10,Delfzijl,0,24716.0,0.0
400,Den Helder,2,55604.0,3.6
762,Deurne,10,32362.0,30.9
150,Deventer,5,99957.0,5.0
384,Diemen,2,29196.0,6.9
1774,Dinkelland,8,26350.0,30.4
221,Doesburg,1,11148.0,9.0
222,Doetinchem,3,57555.0,5.2
766,Dongen,5,26051.0,19.2
505,Dordrecht,8,118654.0,6.7
498,Drechterland,0,19597.0,0.0
1719,Drimmelen,13,27150.0,47.9
303,Dronten,9,40815.0,22.1
225,Druten,5,18797.0,26.6
226,Duiven,2,25332.0,7.9
1711,Echt-Susteren,6,31638.0,19.0
385,Edam-Volendam,3,36099.0,8.3
228,Ede,5,115710.0,4.3
317,Eemnes,1,9113.0,11.0
770,Eersel,4,19110.0,20.9
1903,Eijsden-Margraten,4,25658.0,15.6
772,Eindhoven,24,231642.0,10.4
230,Elburg,1,23086.0,4.3
114,Emmen,3,107113.0,2.8
388,Enkhuizen,5,18507.0,27.0
153,Enschede,7,158986.0,4.4
232,Epe,4,33145.0,12.1
233,Ermelo,8,26858.0,29.8
777,Etten-Leur,14,43774.0,32.0
779,Geertruidenberg,7,21515.0,32.5
1771,Geldrop-Mierlo,4,39595.0,10.1
1652,Gemert-Bakel,31,30447.0,101.8
907,Gennep,4,17071.0,23.4
784,Gilze en Rijen,5,26431.0,18.9
1924,Goeree-Overflakkee,8,49611.0,16.1
664,Goes,3,37653.0,8.0
785,Goirle,11,23793.0,46.2
1942,Gooise Meren,10,57715.0,17.3
512,Gorinchem,1,36682.0,2.7
513,Gouda,9,73181.0,12.3
786,Grave,2,12483.0,16.0
14,Groningen,23,231299.0,9.9
1729,Gulpen-Wittem,2,14246.0,14.0
158,Haaksbergen,1,24277.0,4.1
788,Haaren,9,14195.0,63.4
392,Haarlem,10,161265.0,6.2
394,Haarlemmermeer,5,154235.0,3.2
1655,Halderberge,2,30194.0,6.6
160,Hardenberg,0,60574.0,0.0
243,Harderwijk,5,47581.0,10.5
523,Hardinxveld-Giessendam,5,18051.0,27.7
72,Harlingen,1,15758.0,6.3
244,Hattem,0,12173.0,0.0
396,Heemskerk,3,39164.0,7.7
397,Heemstede,5,27286.0,18.3
246,Heerde,4,18546.0,21.6
74,Heerenveen,0,50257.0,0.0
398,Heerhugowaard,2,56742.0,3.5
917,Heerlen,15,86832.0,17.3
1658,Heeze-Leende,4,15964.0,25.1
399,Heiloo,3,23464.0,12.8
163,Hellendoorn,2,35808.0,5.6
530,Hellevoetsluis,1,40049.0,2.5
794,Helmond,22,91524.0,24.0
531,Hendrik-Ido-Ambacht,0,30966.0,0.0
164,Hengelo (O),4,80683.0,5.0
1966,Het Hogeland,0,47888.0,0.0
252,Heumen,6,16486.0,36.4
797,Heusden,6,44135.0,13.6
534,Hillegom,1,21966.0,4.6
798,Hilvarenbeek,4,15334.0,26.1
402,Hilversum,3,90238.0,3.3
1963,Hoeksche Waard,12,86656.0,13.8
1735,Hof van Twente,3,34940.0,8.6
1911,Hollands Kroon,3,47815.0,6.3
118,Hoogeveen,3,55662.0,5.4
405,Hoorn,2,73004.0,2.7
1507,Horst aan de Maas,10,42291.0,23.6
321,Houten,17,49911.0,34.1
406,Huizen,3,41273.0,7.3
677,Hulst,0,27524.0,0.0
353,IJsselstein,8,34160.0,23.4
1884,Kaag en Braassem,1,26866.0,3.7
166,Kampen,2,53779.0,3.7
678,Kapelle,2,12785.0,15.6
537,Katwijk,2,65302.0,3.1
928,Kerkrade,3,45642.0,6.6
1598,Koggenland,1,22738.0,4.4
542,Krimpen aan den IJssel,2,29376.0,6.8
1931,Krimpenerwaard,5,56048.0,8.9
1659,Laarbeek,4,22333.0,17.9
1685,Landerd,18,15529.0,115.9
882,Landgraaf,7,37591.0,18.6
415,Landsmeer,3,11488.0,26.1
416,Langedijk,4,27992.0,14.3
1621,Lansingerland,13,61601.0,21.1
417,Laren,0,11195.0,0.0
80,Leeuwarden,5,123107.0,4.1
546,Leiden,12,124899.0,9.6
547,Leiderdorp,2,27109.0,7.4
1916,Leidschendam-Voorburg,6,75425.0,8.0
995,Lelystad,13,77893.0,16.7
1640,Leudal,13,35681.0,36.4
327,Leusden,4,30030.0,13.3
1705,Lingewaard,5,46475.0,10.8
553,Lisse,0,22800.0,0.0
262,Lochem,1,33590.0,3.0
809,Loon op Zand,11,23327.0,47.2
331,Lopik,3,14473.0,20.7
24,Loppersum,0,9614.0,0.0
168,Losser,0,22622.0,0.0
263,Maasdriel,1,24693.0,4.0
