Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,* Bij 279 personen is de woonplaats niet van bekend,99,,
796,'s-Hertogenbosch,117,155113.0,75.4
1680,Aa en Hunze,4,25453.0,15.7
358,Aalsmeer,16,31857.0,50.2
197,Aalten,3,27117.0,11.1
59,Achtkarspelen,2,27836.0,7.2
482,Alblasserdam,6,20165.0,29.8
613,Albrandswaard,23,25589.0,89.9
361,Alkmaar,42,109444.0,38.4
141,Almelo,15,73080.0,20.5
34,Almere,48,211840.0,22.7
484,Alphen aan den Rijn,35,111889.0,31.3
1723,Alphen-Chaam,21,10213.0,205.6
1959,Altena,41,55980.0,73.2
60,Ameland,0,3718.0,0.0
307,Amersfoort,63,157279.0,40.1
362,Amstelveen,63,91691.0,68.7
363,Amsterdam,477,872779.0,54.7
200,Apeldoorn,52,163829.0,31.7
3,Appingedam,1,11644.0,8.6
202,Arnhem,52,161368.0,32.2
106,Assen,10,68606.0,14.6
743,Asten,10,16734.0,59.8
744,Baarle-Nassau,2,6860.0,29.2
308,Baarn,6,24873.0,24.1
489,Barendrecht,28,48713.0,57.5
203,Barneveld,19,59077.0,32.2
888,Beek,14,15868.0,88.2
1954,Beekdaelen,37,35976.0,102.8
370,Beemster,4,10025.0,39.9
889,Beesel,13,13483.0,96.4
1945,Berg en Dal,53,34990.0,151.5
1724,Bergeijk,14,18638.0,75.1
893,Bergen (L.),2,13085.0,15.3
373,Bergen (NH.),20,29844.0,67.0
748,Bergen op Zoom,17,67489.0,25.2
1859,Berkelland,2,43748.0,4.6
1721,Bernheze,95,31247.0,304.0
753,Best,23,29985.0,76.7
209,Beuningen,18,25891.0,69.5
375,Beverwijk,17,41613.0,40.9
1728,Bladel,18,20395.0,88.3
376,Blaricum,6,11536.0,52.0
377,Bloemendaal,19,23570.0,80.6
1901,Bodegraven-Reeuwijk,10,34869.0,28.7
755,Boekel,53,10784.0,491.5
1681,Borger-Odoorn,1,25558.0,3.9
147,Borne,15,23313.0,64.3
654,Borsele,7,22738.0,30.8
756,Boxmeer,17,29371.0,57.9
757,Boxtel,24,30803.0,77.9
758,Breda,227,184271.0,123.2
501,Brielle,10,17282.0,57.9
1876,Bronckhorst,9,36052.0,25.0
213,Brummen,5,20756.0,24.1
899,Brunssum,25,27817.0,89.9
312,Bunnik,10,15191.0,65.8
313,Bunschoten,4,21867.0,18.3
214,Buren,7,26742.0,26.2
502,Capelle aan den IJssel,41,67151.0,61.1
383,Castricum,19,35988.0,52.8
109,Coevorden,20,35296.0,56.7
1706,Cranendonck,42,21166.0,198.4
1684,Cuijk,10,25139.0,39.8
216,Culemborg,16,28956.0,55.3
148,Dalfsen,15,28585.0,52.5
1891,Dantumadiel,1,18916.0,5.3
310,De Bilt,39,43124.0,90.4
1940,De Fryske Marren,17,51567.0,33.0
736,De Ronde Venen,17,44457.0,38.2
1690,De Wolden,7,24327.0,28.8
503,Delft,29,103659.0,28.0
10,Delfzijl,7,24666.0,28.4
400,Den Helder,9,56305.0,16.0
762,Deurne,46,32474.0,141.7
150,Deventer,45,100718.0,44.7
384,Diemen,7,30781.0,22.7
1774,Dinkelland,30,26470.0,113.3
221,Doesburg,6,11078.0,54.2
222,Doetinchem,18,58009.0,31.0
766,Dongen,12,26226.0,45.8
505,Dordrecht,36,119300.0,30.2
498,Drechterland,5,19717.0,25.4
1719,Drimmelen,26,27274.0,95.3
303,Dronten,11,41569.0,26.5
225,Druten,13,18918.0,68.7
226,Duiven,6,25124.0,23.9
1711,Echt-Susteren,28,31618.0,88.6
385,Edam-Volendam,14,36201.0,38.7
228,Ede,46,117166.0,39.3
317,Eemnes,1,9247.0,10.8
770,Eersel,17,19314.0,88.0
1903,Eijsden-Margraten,43,25753.0,167.0
772,Eindhoven,128,234456.0,54.6
230,Elburg,11,23161.0,47.5
114,Emmen,12,107055.0,11.2
388,Enkhuizen,17,18592.0,91.4
153,Enschede,49,159734.0,30.7
232,Epe,20,33186.0,60.3
233,Ermelo,19,27005.0,70.4
777,Etten-Leur,50,43880.0,113.9
779,Geertruidenberg,12,21538.0,55.7
1771,Geldrop-Mierlo,22,39733.0,55.4
1652,Gemert-Bakel,82,30725.0,266.9
907,Gennep,14,16924.0,82.7
784,Gilze en Rijen,25,26438.0,94.6
1924,Goeree-Overflakkee,92,50049.0,183.8
664,Goes,12,38080.0,31.5
785,Goirle,26,23906.0,108.8
1942,Gooise Meren,25,58041.0,43.1
512,Gorinchem,14,37009.0,37.8
513,Gouda,35,73443.0,47.7
786,Grave,19,12437.0,152.8
14,Groningen,85,232922.0,36.5
1729,Gulpen-Wittem,8,14176.0,56.4
158,Haaksbergen,9,24309.0,37.0
788,Haaren,21,14371.0,146.1
392,Haarlem,73,162961.0,44.8
394,Haarlemmermeer,45,156039.0,28.8
1655,Halderberge,12,30277.0,39.6
160,Hardenberg,16,60940.0,26.3
243,Harderwijk,18,48429.0,37.2
523,Hardinxveld-Giessendam,7,18295.0,38.3
72,Harlingen,3,15720.0,19.1
244,Hattem,7,12213.0,57.3
396,Heemskerk,19,39188.0,48.5
397,Heemstede,27,27239.0,99.1
246,Heerde,28,18587.0,150.6
74,Heerenveen,7,50494.0,13.9
398,Heerhugowaard,23,57592.0,39.9
917,Heerlen,75,87057.0,86.2
1658,Heeze-Leende,12,16150.0,74.3
399,Heiloo,13,23974.0,54.2
163,Hellendoorn,10,35923.0,27.8
530,Hellevoetsluis,15,40158.0,37.4
794,Helmond,91,92432.0,98.5
531,Hendrik-Ido-Ambacht,5,31204.0,16.0
164,Hengelo,25,81147.0,30.8
1966,Het Hogeland,7,47834.0,14.6
252,Heumen,16,16450.0,97.3
797,Heusden,39,44699.0,87.3
534,Hillegom,4,22208.0,18.0
798,Hilvarenbeek,12,15514.0,77.3
402,Hilversum,24,90883.0,26.4
1963,Hoeksche Waard,55,87461.0,62.9
1735,Hof van Twente,17,35013.0,48.6
1911,Hollands Kroon,18,48434.0,37.2
118,Hoogeveen,9,55697.0,16.2
405,Hoorn,20,73232.0,27.3
1507,Horst aan de Maas,27,42433.0,63.6
321,Houten,52,50146.0,103.7
406,Huizen,13,41273.0,31.5
677,Hulst,3,27556.0,10.9
353,IJsselstein,31,34110.0,90.9
1884,Kaag en Braassem,6,27300.0,22.0
166,Kampen,55,54340.0,101.2
678,Kapelle,2,12691.0,15.8
537,Katwijk,19,65754.0,28.9
928,Kerkrade,32,45744.0,70.0
1598,Koggenland,9,22752.0,39.6
542,Krimpen aan den IJssel,12,29533.0,40.6
1931,Krimpenerwaard,30,56319.0,53.3
1659,Laarbeek,39,22530.0,173.1
1685,Landerd,44,15730.0,279.7
882,Landgraaf,29,37457.0,77.4
415,Landsmeer,7,11492.0,60.9
416,Langedijk,14,28157.0,49.7
1621,Lansingerland,45,62396.0,72.1
417,Laren,8,11274.0,71.0
80,Leeuwarden,20,124058.0,16.1
546,Leiden,35,125174.0,28.0
547,Leiderdorp,5,27059.0,18.5
1916,Leidschendam-Voorburg,21,76553.0,27.4
995,Lelystad,31,78619.0,39.4
1640,Leudal,41,35896.0,114.2
327,Leusden,17,30399.0,55.9
1705,Lingewaard,25,46606.0,53.6
553,Lisse,3,22957.0,13.1
262,Lochem,14,33730.0,41.5
809,Loon op Zand,29,23407.0,123.9
331,Lopik,13,14471.0,89.8
24,Loppersum,1,9533.0,10.5
168,Losser,1,22685.0,4.4
263,Maasdriel,8,25034.0,32.0
1641,Maasgouw,13,23960.0,54.3
556,Maassluis,14,33216.0,42.1
935,Maastricht,162,121558.0,133.3
420,Medemblik,14,45104.0,31.0
938,Meerssen,10,18832.0,53.1
1948,Meierijstad,207,81197.0,254.9
119,Meppel,6,33902.0,17.7
687,Middelburg,10,48810.0,20.5
1842,Midden-Delfland,4,19344.0,20.7
1731,Midden-Drenthe,4,33182.0,12.1
1952,Midden-Groningen,6,60804.0,9.9
815,Mill en Sint Hubert,9,10941.0,82.3
1709,Moerdijk,10,37136.0,26.9
1978,Molenlanden,18,43931.0,41.0
1955,Montferland,6,36009.0,16.7
335,Montfoort,12,13920.0,86.2
944,Mook en Middelaar,8,7847.0,101.9
1740,Neder-Betuwe,20,24342.0,82.2
946,Nederweert,24,17022.0,141.0
356,Nieuwegein,25,63461.0,39.4
569,Nieuwkoop,8,28809.0,27.8
267,Nijkerk,18,43176.0,41.7
268,Nijmegen,149,177698.0,83.9
1930,Nissewaard,37,85237.0,43.4
1970,Noardeast-Fryslân,4,45251.0,8.8
1695,Noord-Beveland,2,7395.0,27.0
1699,Noordenveld,3,31242.0,9.6
171,Noordoostpolder,10,47262.0,21.2
575,Noordwijk,15,43528.0,34.5
820,"Nuenen, Gerwen en Nederwetten",13,23379.0,55.6
302,Nunspeet,43,27845.0,154.4
579,Oegstgeest,13,24843.0,52.3
823,Oirschot,11,18723.0,58.8
824,Oisterwijk,24,26241.0,91.5
1895,Oldambt,2,38213.0,5.2
269,Oldebroek,22,23645.0,93.0
173,Oldenzaal,18,31832.0,56.5
1773,Olst-Wijhe,6,18251.0,32.9
175,Ommen,10,18007.0,55.5
1586,Oost Gelre,8,29623.0,27.0
826,Oosterhout,36,55990.0,64.3
85,Ooststellingwerf,1,25472.0,3.9
431,Oostzaan,7,9733.0,71.9
432,Opmeer,2,11837.0,16.9
86,Opsterland,6,29742.0,20.2
828,Oss,141,91932.0,153.4
1509,Oude IJsselstreek,7,39392.0,17.8
437,Ouder-Amstel,9,14029.0,64.2
589,Oudewater,21,10226.0,205.4
1734,Overbetuwe,54,47909.0,112.7
590,Papendrecht,7,32133.0,21.8
1894,Peel en Maas,119,43420.0,274.1
765,Pekela,2,12199.0,16.4
1926,Pijnacker-Nootdorp,24,55329.0,43.4
439,Purmerend,52,81233.0,64.0
273,Putten,6,24113.0,24.9
177,Raalte,15,37709.0,39.8
703,Reimerswaal,7,22728.0,30.8
274,Renkum,18,31404.0,57.3
339,Renswoude,1,5448.0,18.4
1667,Reusel-De Mierden,5,13110.0,38.1
275,Rheden,30,43736.0,68.6
340,Rhenen,6,20125.0,29.8
597,Ridderkerk,27,46204.0,58.4
1742,Rijssen-Holten,17,38178.0,44.5
603,Rijswijk,16,54432.0,29.4
1669,Roerdalen,14,20572.0,68.1
957,Roermond,32,58254.0,54.9
1674,Roosendaal,25,77226.0,32.4
599,Rotterdam,308,651376.0,47.3
277,Rozendaal,2,1705.0,117.3
840,Rucphen,10,22873.0,43.7
518,s-Gravenhage,161,545163.0,29.5
441,Schagen,13,46482.0,28.0
279,Scherpenzeel,5,9880.0,50.6
606,Schiedam,22,78739.0,27.9
88,Schiermonnikoog,0,947.0,0.0
1676,Schouwen-Duiveland,9,33858.0,26.6
965,Simpelveld,11,10552.0,104.2
1702,Sint Anthonis,21,11672.0,179.9
845,Sint-Michielsgestel,29,29203.0,99.3
1883,Sittard-Geleen,102,92422.0,110.4
610,Sliedrecht,6,25217.0,23.8
1714,Sluis,6,23217.0,25.8
90,Smallingerland,7,56154.0,12.5
342,Soest,28,46607.0,60.1
847,Someren,22,19376.0,113.5
848,Son en Breugel,22,17321.0,127.0
37,Stadskanaal,1,31688.0,3.2
180,Staphorst,5,17144.0,29.2
532,Stede Broec,18,21734.0,82.8
851,Steenbergen,14,24501.0,57.1
1708,Steenwijkerland,8,44139.0,18.1
971,Stein,31,25000.0,124.0
1904,Stichtse Vecht,31,64928.0,47.7
1900,Súdwest-Fryslân,19,89987.0,21.1
715,Terneuzen,17,54438.0,31.2
93,Terschelling,0,4889.0,0.0
448,Texel,3,13573.0,22.1
1525,Teylingen,11,37426.0,29.4
716,Tholen,25,25758.0,97.1
281,Tiel,27,42161.0,64.0
855,Tilburg,284,219800.0,129.2
183,Tubbergen,12,21279.0,56.4
1700,Twenterand,5,33743.0,14.8
1730,Tynaarlo,16,33879.0,47.2
737,Tytsjerksteradiel,4,32046.0,12.5
856,Uden,130,42122.0,308.6
450,Uitgeest,7,13649.0,51.3
451,Uithoorn,16,29466.0,54.3
184,Urk,10,21033.0,47.5
344,Utrecht,265,357694.0,74.1
1581,Utrechtse Heuvelrug,25,49601.0,50.4
981,Vaals,6,10099.0,59.4
994,Valkenburg aan de Geul,12,16360.0,73.3
858,Valkenswaard,26,31200.0,83.3
47,Veendam,2,27387.0,7.3
345,Veenendaal,14,66491.0,21.1
717,Veere,9,21885.0,41.1
861,Veldhoven,24,45458.0,52.8
453,Velsen,31,68660.0,45.2
983,Venlo,71,101797.0,69.7
984,Venray,26,43604.0,59.6
1961,Vijfheerenlanden,27,56816.0,47.5
622,Vlaardingen,30,73445.0,40.8
96,Vlieland,0,1152.0,0.0
718,Vlissingen,10,44365.0,22.5
986,Voerendaal,8,12471.0,64.1
626,Voorschoten,7,25603.0,27.3
285,Voorst,15,24546.0,61.1
865,Vught,31,26554.0,116.7
1949,Waadhoeke,3,46079.0,6.5
866,Waalre,6,17454.0,34.4
867,Waalwijk,54,48620.0,111.1
627,Waddinxveen,8,29293.0,27.3
289,Wageningen,7,39673.0,17.6
629,Wassenaar,6,26214.0,22.9
852,Waterland,11,17422.0,63.1
988,Weert,36,50107.0,71.8
457,Weesp,10,19729.0,50.7
1960,West Betuwe,34,51198.0,66.4
668,West Maas en Waal,15,19320.0,77.6
1969,Westerkwartier,16,63375.0,25.2
1701,Westerveld,4,19460.0,20.6
293,Westervoort,4,14973.0,26.7
1950,Westerwolde,3,25796.0,11.6
1783,Westland,45,110357.0,40.8
98,Weststellingwerf,2,25916.0,7.7
614,Westvoorne,11,14728.0,74.7
189,Wierden,7,24440.0,28.6
296,Wijchen,35,41124.0,85.1
1696,Wijdemeren,5,24360.0,20.5
352,Wijk bij Duurstede,9,23910.0,37.6
294,Winterswijk,3,28865.0,10.4
873,Woensdrecht,6,21883.0,27.4
632,Woerden,34,52294.0,65.0
880,Wormerland,7,16299.0,42.9
351,Woudenberg,6,13362.0,44.9
479,Zaanstad,50,156711.0,31.9
