Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,* Bij 237 personen is de woonplaats niet van bekend,99,,
518,'s-Gravenhage,103,537833.0,19.2
796,'s-Hertogenbosch,87,154205.0,56.4
1680,Aa en Hunze,3,25386.0,11.8
358,Aalsmeer,11,31728.0,34.7
197,Aalten,2,27011.0,7.4
59,Achtkarspelen,1,27852.0,3.6
482,Alblasserdam,6,20069.0,29.9
613,Albrandswaard,19,25271.0,75.2
361,Alkmaar,29,108558.0,26.7
141,Almelo,12,72849.0,16.5
34,Almere,32,207904.0,15.4
484,Alphen aan den Rijn,30,110986.0,27.0
1723,Alphen-Chaam,19,10149.0,187.2
1959,Altena,35,55386.0,63.2
60,Ameland,0,3673.0,0.0
307,Amersfoort,54,156286.0,34.6
362,Amstelveen,46,90838.0,50.6
363,Amsterdam,351,862965.0,40.7
200,Apeldoorn,39,162445.0,24.0
3,Appingedam,0,11721.0,0.0
202,Arnhem,34,159265.0,21.3
106,Assen,7,67963.0,10.3
743,Asten,6,16710.0,35.9
744,Baarle-Nassau,2,6847.0,29.2
308,Baarn,5,24767.0,20.2
489,Barendrecht,19,48673.0,39.0
203,Barneveld,13,57971.0,22.4
888,Beek,13,15929.0,81.6
1954,Beekdaelen,32,35727.0,89.6
370,Beemster,2,9748.0,20.5
889,Beesel,8,13519.0,59.2
1945,Berg en Dal,43,34798.0,123.6
1724,Bergeijk,11,18491.0,59.5
893,Bergen (L),1,13140.0,7.6
373,Bergen (NH),14,29974.0,46.7
748,Bergen op Zoom,13,66811.0,19.5
1859,Berkelland,2,43904.0,4.6
1721,Bernheze,83,30806.0,269.4
753,Best,21,29821.0,70.4
209,Beuningen,15,25882.0,58.0
375,Beverwijk,12,41176.0,29.1
1728,Bladel,15,20175.0,74.3
376,Blaricum,6,11202.0,53.6
377,Bloemendaal,16,23410.0,68.3
1901,Bodegraven-Reeuwijk,8,34462.0,23.2
755,Boekel,42,10588.0,396.7
1681,Borger-Odoorn,0,25372.0,0.0
147,Borne,12,23210.0,51.7
654,Borsele,6,22800.0,26.3
756,Boxmeer,10,29065.0,34.4
757,Boxtel,19,30747.0,61.8
758,Breda,201,183873.0,109.3
501,Brielle,2,17182.0,11.6
1876,Bronckhorst,8,36212.0,22.1
213,Brummen,4,20698.0,19.3
899,Brunssum,22,28103.0,78.3
312,Bunnik,9,15192.0,59.2
313,Bunschoten,3,21576.0,13.9
214,Buren,7,26568.0,26.3
502,Capelle aan den IJssel,26,66818.0,38.9
383,Castricum,13,35772.0,36.3
109,Coevorden,17,35483.0,47.9
1706,Cranendonck,31,20440.0,151.7
1684,Cuijk,8,24931.0,32.1
216,Culemborg,14,28555.0,49.0
148,Dalfsen,13,28499.0,45.6
1891,Dantumadiel,1,18923.0,5.3
310,De Bilt,34,42824.0,79.4
1940,De Fryske Marren,12,51430.0,23.3
736,De Ronde Venen,13,44059.0,29.5
1690,De Wolden,3,24110.0,12.4
503,Delft,25,103163.0,24.2
10,Delfzijl,2,24716.0,8.1
400,Den Helder,6,55604.0,10.8
762,Deurne,35,32362.0,108.2
150,Deventer,30,99957.0,30.0
384,Diemen,6,29196.0,20.6
1774,Dinkelland,25,26350.0,94.9
221,Doesburg,5,11148.0,44.9
222,Doetinchem,17,57555.0,29.5
766,Dongen,6,26051.0,23.0
505,Dordrecht,28,118654.0,23.6
498,Drechterland,4,19597.0,20.4
