Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
678,Kapelle,2,12691.0,15.8
537,Katwijk,24,65754.0,36.5
928,Kerkrade,36,45744.0,78.7
1598,Koggenland,10,22752.0,44.0
542,Krimpen aan den IJssel,15,29533.0,50.8
1931,Krimpenerwaard,38,56319.0,67.5
1659,Laarbeek,45,22530.0,199.7
1685,Landerd,50,15730.0,317.9
882,Landgraaf,32,37457.0,85.4
415,Landsmeer,8,11492.0,69.6
416,Langedijk,16,28157.0,56.8
1621,Lansingerland,49,62396.0,78.5
417,Laren,8,11274.0,71.0
80,Leeuwarden,23,124058.0,18.5
546,Leiden,39,125174.0,31.2
547,Leiderdorp,7,27059.0,25.9
1916,Leidschendam-Voorburg,24,76553.0,31.4
995,Lelystad,34,78619.0,43.2
1640,Leudal,52,35896.0,144.9
327,Leusden,19,30399.0,62.5
1705,Lingewaard,28,46606.0,60.1
553,Lisse,4,22957.0,17.4
262,Lochem,14,33730.0,41.5
809,Loon op Zand,31,23407.0,132.4
331,Lopik,17,14471.0,117.5
24,Loppersum,1,9533.0,10.5
168,Losser,3,22685.0,13.2
263,Maasdriel,12,25034.0,47.9
1641,Maasgouw,13,23960.0,54.3
556,Maassluis,15,33216.0,45.2
935,Maastricht,185,121558.0,152.2
420,Medemblik,22,45104.0,48.8
938,Meerssen,13,18832.0,69.0
1948,Meierijstad,243,81197.0,299.3
119,Meppel,8,33902.0,23.6
687,Middelburg,14,48810.0,28.7
1842,Midden-Delfland,4,19344.0,20.7
1731,Midden-Drenthe,5,33182.0,15.1
1952,Midden-Groningen,8,60804.0,13.2
815,Mill en Sint Hubert,11,10941.0,100.5
1709,Moerdijk,12,37136.0,32.3
1978,Molenlanden,23,43931.0,52.4
1955,Montferland,10,36009.0,27.8
335,Montfoort,15,13920.0,107.8
944,Mook en Middelaar,8,7847.0,101.9
1740,Neder-Betuwe,33,24342.0,135.6
946,Nederweert,27,17022.0,158.6
356,Nieuwegein,33,63461.0,52.0
569,Nieuwkoop,10,28809.0,34.7
267,Nijkerk,18,43176.0,41.7
268,Nijmegen,197,177698.0,110.9
1930,Nissewaard,40,85237.0,46.9
1970,Noardeast-Fryslân,6,45251.0,13.3
1695,Noord-Beveland,2,7395.0,27.0
1699,Noordenveld,5,31242.0,16.0
171,Noordoostpolder,11,47262.0,23.3
575,Noordwijk,17,43528.0,39.1
820,"Nuenen, Gerwen en Nederwetten",16,23379.0,68.4
302,Nunspeet,52,27845.0,186.7
579,Oegstgeest,15,24843.0,60.4
823,Oirschot,14,18723.0,74.8
824,Oisterwijk,27,26241.0,102.9
1895,Oldambt,2,38213.0,5.2
269,Oldebroek,30,23645.0,126.9
173,Oldenzaal,22,31832.0,69.1
1773,Olst-Wijhe,9,18251.0,49.3
175,Ommen,10,18007.0,55.5
1586,Oost Gelre,11,29623.0,37.1
826,Oosterhout,44,55990.0,78.6
85,Ooststellingwerf,1,25472.0,3.9
431,Oostzaan,8,9733.0,82.2
432,Opmeer,3,11837.0,25.3
86,Opsterland,7,29742.0,23.5
828,Oss,174,91932.0,189.3
1509,Oude IJsselstreek,10,39392.0,25.4
437,Ouder-Amstel,10,14029.0,71.3
589,Oudewater,25,10226.0,244.5
1734,Overbetuwe,61,47909.0,127.3
590,Papendrecht,7,32133.0,21.8
1894,Peel en Maas,140,43420.0,322.4
765,Pekela,3,12199.0,24.6
1926,Pijnacker-Nootdorp,29,55329.0,52.4
439,Purmerend,63,81233.0,77.6
273,Putten,6,24113.0,24.9
177,Raalte,20,37709.0,53.0
703,Reimerswaal,7,22728.0,30.8
274,Renkum,21,31404.0,66.9
339,Renswoude,1,5448.0,18.4
1667,Reusel-De Mierden,7,13110.0,53.4
275,Rheden,35,43736.0,80.0
340,Rhenen,6,20125.0,29.8
597,Ridderkerk,34,46204.0,73.6
1742,Rijssen-Holten,21,38178.0,55.0
603,Rijswijk,20,54432.0,36.7
1669,Roerdalen,18,20572.0,87.5
957,Roermond,38,58254.0,65.2
1674,Roosendaal,26,77226.0,33.7
599,Rotterdam,375,651376.0,57.6
277,Rozendaal,2,1705.0,117.3
840,Rucphen,10,22873.0,43.7
518,s-Gravenhage,182,545163.0,33.4
441,Schagen,19,46482.0,40.9
279,Scherpenzeel,4,9880.0,40.5
606,Schiedam,31,78739.0,39.4
88,Schiermonnikoog,0,947.0,0.0
1676,Schouwen-Duiveland,10,33858.0,29.5
965,Simpelveld,14,10552.0,132.7
1702,Sint Anthonis,31,11672.0,265.6
845,Sint-Michielsgestel,33,29203.0,113.0
1883,Sittard-Geleen,114,92422.0,123.3
610,Sliedrecht,7,25217.0,27.8
1714,Sluis,6,23217.0,25.8
90,Smallingerland,10,56154.0,17.8
342,Soest,30,46607.0,64.4
847,Someren,29,19376.0,149.7
848,Son en Breugel,24,17321.0,138.6
37,Stadskanaal,1,31688.0,3.2
180,Staphorst,6,17144.0,35.0
532,Stede Broec,20,21734.0,92.0
851,Steenbergen,17,24501.0,69.4
1708,Steenwijkerland,10,44139.0,22.7
971,Stein,34,25000.0,136.0
1904,Stichtse Vecht,34,64928.0,52.4
1900,Súdwest-Fryslân,23,89987.0,25.6
715,Terneuzen,20,54438.0,36.7
93,Terschelling,0,4889.0,0.0
448,Texel,3,13573.0,22.1
1525,Teylingen,13,37426.0,34.7
716,Tholen,34,25758.0,132.0
281,Tiel,33,42161.0,78.3
855,Tilburg,330,219800.0,150.1
183,Tubbergen,14,21279.0,65.8
1700,Twenterand,8,33743.0,23.7
1730,Tynaarlo,17,33879.0,50.2
737,Tytsjerksteradiel,4,32046.0,12.5
856,Uden,154,42122.0,365.6
450,Uitgeest,9,13649.0,65.9
451,Uithoorn,17,29466.0,57.7
184,Urk,14,21033.0,66.6
344,Utrecht,307,357694.0,85.8
1581,Utrechtse Heuvelrug,32,49601.0,64.5
981,Vaals,9,10099.0,89.1
994,Valkenburg aan de Geul,15,16360.0,91.7
858,Valkenswaard,36,31200.0,115.4
47,Veendam,2,27387.0,7.3
345,Veenendaal,20,66491.0,30.1
717,Veere,9,21885.0,41.1
861,Veldhoven,28,45458.0,61.6
453,Velsen,40,68660.0,58.3
983,Venlo,96,101797.0,94.3
984,Venray,37,43604.0,84.9
1961,Vijfheerenlanden,47,56816.0,82.7
622,Vlaardingen,43,73445.0,58.5
96,Vlieland,0,1152.0,0.0
718,Vlissingen,13,44365.0,29.3
986,Voerendaal,13,12471.0,104.2
626,Voorschoten,8,25603.0,31.2
285,Voorst,20,24546.0,81.5
865,Vught,38,26554.0,143.1
1949,Waadhoeke,6,46079.0,13.0
866,Waalre,8,17454.0,45.8
867,Waalwijk,59,48620.0,121.3
627,Waddinxveen,9,29293.0,30.7
289,Wageningen,8,39673.0,20.2
629,Wassenaar,6,26214.0,22.9
852,Waterland,14,17422.0,80.4
988,Weert,43,50107.0,85.8
457,Weesp,10,19729.0,50.7
