Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,* Bij 265 personen is de woonplaats niet van bekend,99,,
796,'s-Hertogenbosch,108,155113.0,69.6
1680,Aa en Hunze,3,25453.0,11.8
358,Aalsmeer,12,31857.0,37.7
197,Aalten,3,27117.0,11.1
59,Achtkarspelen,2,27836.0,7.2
482,Alblasserdam,6,20165.0,29.8
613,Albrandswaard,21,25589.0,82.1
361,Alkmaar,36,109444.0,32.9
141,Almelo,14,73080.0,19.2
34,Almere,39,211840.0,18.4
484,Alphen aan den Rijn,32,111889.0,28.6
1723,Alphen-Chaam,19,10213.0,186.0
1959,Altena,39,55980.0,69.7
60,Ameland,0,3718.0,0.0
307,Amersfoort,59,157279.0,37.5
362,Amstelveen,52,91691.0,56.7
363,Amsterdam,411,872779.0,47.1
200,Apeldoorn,49,163829.0,29.9
3,Appingedam,1,11644.0,8.6
202,Arnhem,46,161368.0,28.5
106,Assen,8,68606.0,11.7
743,Asten,8,16734.0,47.8
744,Baarle-Nassau,2,6860.0,29.2
308,Baarn,5,24873.0,20.1
489,Barendrecht,21,48713.0,43.1
203,Barneveld,17,59077.0,28.8
888,Beek,13,15868.0,81.9
1954,Beekdaelen,34,35976.0,94.5
370,Beemster,4,10025.0,39.9
889,Beesel,11,13483.0,81.6
1945,Berg en Dal,44,34990.0,125.8
1724,Bergeijk,13,18638.0,69.7
893,Bergen (L.),2,13085.0,15.3
373,Bergen (NH.),16,29844.0,53.6
748,Bergen op Zoom,15,67489.0,22.2
1859,Berkelland,2,43748.0,4.6
1721,Bernheze,87,31247.0,278.4
753,Best,23,29985.0,76.7
209,Beuningen,16,25891.0,61.8
375,Beverwijk,13,41613.0,31.2
1728,Bladel,15,20395.0,73.5
376,Blaricum,6,11536.0,52.0
377,Bloemendaal,17,23570.0,72.1
1901,Bodegraven-Reeuwijk,9,34869.0,25.8
755,Boekel,51,10784.0,472.9
1681,Borger-Odoorn,1,25558.0,3.9
147,Borne,13,23313.0,55.8
654,Borsele,7,22738.0,30.8
756,Boxmeer,13,29371.0,44.3
757,Boxtel,22,30803.0,71.4
758,Breda,215,184271.0,116.7
501,Brielle,5,17282.0,28.9
1876,Bronckhorst,8,36052.0,22.2
213,Brummen,5,20756.0,24.1
899,Brunssum,24,27817.0,86.3
312,Bunnik,9,15191.0,59.2
313,Bunschoten,3,21867.0,13.7
214,Buren,7,26742.0,26.2
502,Capelle aan den IJssel,31,67151.0,46.2
383,Castricum,18,35988.0,50.0
109,Coevorden,17,35296.0,48.2
1706,Cranendonck,42,21166.0,198.4
1684,Cuijk,8,25139.0,31.8
216,Culemborg,14,28956.0,48.3
148,Dalfsen,14,28585.0,49.0
1891,Dantumadiel,1,18916.0,5.3
310,De Bilt,36,43124.0,83.5
1940,De Fryske Marren,12,51567.0,23.3
736,De Ronde Venen,17,44457.0,38.2
1690,De Wolden,3,24327.0,12.3
503,Delft,27,103659.0,26.0
10,Delfzijl,4,24666.0,16.2
400,Den Helder,9,56305.0,16.0
762,Deurne,42,32474.0,129.3
150,Deventer,33,100718.0,32.8
384,Diemen,7,30781.0,22.7
1774,Dinkelland,28,26470.0,105.8
221,Doesburg,6,11078.0,54.2
222,Doetinchem,17,58009.0,29.3
766,Dongen,10,26226.0,38.1
505,Dordrecht,32,119300.0,26.8
498,Drechterland,4,19717.0,20.3
1719,Drimmelen,24,27274.0,88.0
303,Dronten,11,41569.0,26.5
225,Druten,11,18918.0,58.1
226,Duiven,4,25124.0,15.9
1711,Echt-Susteren,25,31618.0,79.1
385,Edam-Volendam,14,36201.0,38.7
228,Ede,37,117166.0,31.6
317,Eemnes,1,9247.0,10.8
770,Eersel,15,19314.0,77.7
1903,Eijsden-Margraten,32,25753.0,124.3
772,Eindhoven,113,234456.0,48.2
230,Elburg,9,23161.0,38.9
114,Emmen,10,107055.0,9.3
388,Enkhuizen,17,18592.0,91.4
153,Enschede,45,159734.0,28.2
232,Epe,18,33186.0,54.2
233,Ermelo,18,27005.0,66.7
777,Etten-Leur,40,43880.0,91.2
779,Geertruidenberg,11,21538.0,51.1
